nama_model,kode_model
Harley-Davidson Fat Boy,769
Yamaha XJR 1300,631
Honda GL 1800,2051
Harley-Davidson Custom Bike,1121
Yamaha Tracer 900,1050
Kymco Downtown 300i,618
Kawasaki W 800,1577
HM CRE Baja,666
REX RS 450,681
Harley-Davidson Road King,505
Harley-Davidson Street Glide,277
Ducati Desmosedici RR,1855
Benelli,485
Triumph Scrambler,1587
Ducati 500 Pantah,136
Rewaco RF1,1662
Aprilia RSV4,710
SYM Symphony 200,136
Honda CB 1000,768
BMW F 800 GS,211
Honda GL 1500,781
BMW R 1200 GS LC,1485
Honda NC 750,1749
Piaggio Beverly 350,746
Suzuki GSX-S 1000,674
Honda CRF 450,136
Harley-Davidson Sportster 1200,667
BMW F 750 GS,2015
Harley-Davidson Roadster,136
Yamaha MT-07,1744
Aprilia Scarabeo,2051
Suzuki GSX-R 1000,1720
Yamaha XT 700,1351
Suzuki B King,1105
Moto Guzzi Norge 1200,1747
Kymco AK 550,1104
Suzuki GSX-R 600,2042
Kymco,1757
Yamaha TMAX 560,2051
Suzuki Hayabusa,210
Yamaha X-Max 400,743
BMW R 1200 GS Adventure,475
Honda CRF 1000,1105
Ducati 1198,210
Kymco AK 550,372
BMW R 1200 GS Adventure,255
Buell XB 12,2042
Honda VFR 800,635
BMW R nineT,1785
Yamaha TMAX 560,204
Harley-Davidson Dyna Fat Bob,638
Suzuki V-Strom 650,1639
BMW R 1200,1986
Harley-Davidson Dyna Street Bob,1785
SYM GTS 300,262
Yamaha,1364
Suzuki V-Strom 650,835
BSA A 65,669
Moto Guzzi V 85,941
Honda X-ADV,1883
Harley-Davidson Softail,1478
KTM 1290 Super Duke GT,209
Triumph Tiger 800,675
Piaggio,1246
BMW R 1200 GS,260
Harley-Davidson Sportster 883,447
MV Agusta F3,258
BMW S 1000 XR,209
Daelim S300 Fi,1416
BMW S 1000 R,210
BMW R 1200 GS,1842
Others,1908
BMW R 1200 GS Adventure,1988
Triumph Bonneville T100,727
Vespa,668
Yamaha Aerox,478
Honda CBR 1000,1337
Harley-Davidson Rocker C,2051
Ducati 1299 Panigale,260
Moto Guzzi Eldorado,1867
Yamaha XJR 1300,940
BMW S 1000 XR,260
Triumph Street Triple R,1060
KTM 1290 Super Adventure,258
BMW S 1000 XR,1261
Kawasaki Z 900,210
BMW S 1000 R,210
MZ TS 150,971
BMW R 1200 GS Adventure,781
BMW R 1200 GS Adventure,1416
KTM 690 Supermoto,1934
Honda NC 750,800
Others,2027
Vespa LX Touring 50,1833
Honda SH 300,929
Yamaha Niken,941
Triumph,1227
KTM,215
KTM 1290 Super Duke GT,896
MV Agusta,136
BMW R 1200 RT,940
Indian Roadmaster,2051
Aprilia Sportcity 250,669
KTM 1290 Super Adventure,255
Yamaha XSR 900,646
Harley-Davidson Softail,136
BMW R nineT,893
Harley-Davidson FXD,1172
Aprilia Tuono,1915
Indian Chieftain,1855
Kymco X-Town,942
Vespa 50,136
Triumph Scrambler,687
KTM 1290 Super Duke R,255
BMW F 750 GS,1060
Harley-Davidson Ultra Classic,1646
BMW R nineT,668
Kawasaki Z 900,255
SYM Joymax 125i,672
Harley-Davidson Rocker C,141
BMW R nineT,1062
Harley-Davidson Sportster,1076
BMW F 900 R,215
Kawasaki Z1000 SX,233
Keeway Agora,681
BMW R 1200 RT,2051
BMW R 60/6,1062
Harley-Davidson Street Glide,606
Yamaha X-Max 300,500
Kawasaki Z1000 SX,986
Gilera Runner 125,1785
Ducati 916,2051
KTM Freeride E,1842
Suzuki V-Strom 650,212
Yamaha YZF-R1,669
Triumph Bonneville T100,648
BMW R 1200 R,2051
Harley-Davidson Softail,209
Harley-Davidson Fat Bob,1785
Zero,1045
BMW R 1200 GS,942
Suzuki V-Strom 650,1045
Kawasaki Versys 650,643
KTM 1290 Super Duke R,1437
Kawasaki Versys 650,322
Harley-Davidson Electra Glide,1043
Peugeot,705
Beta RR 50,1060
Kawasaki VN 900,638
Honda,515
Kawasaki Z 900,259
Harley-Davidson Dyna Street Bob,1105
Ducati Monster 1100,212
BMW S 1000 RR,2024
Kymco AK 550,675
BMW R 1200 R,1407
Yamaha NEOs 50,140
Harley-Davidson Sportster 883,212
Suzuki VZR 1800,2051
Nova Motors Retro Star,898
BMW F 850 GS,729
BMW R 1200 R,476
Yamaha X-Max 400,1998
Indian Springfield,209
Honda CBR 125,136
Ducati 1199 Panigale,2051
Yamaha FJR 1300,852
BMW R 1200 GS,1377
BMW F 800 GS Adventure,466
Yamaha XV 1600,1631
Husqvarna 701 Enduro,1724
Motom,1274
Derbi X-Treme,256
SYM Crox 50,212
Suzuki Burgman 125,1246
Malaguti F 12,705
BMW R18,1625
BMW R 1200 R,209
MV Agusta F3,210
Honda,835
SXT Gekko V2,705
BMW R 1200 GS,186
BMW R 1200 GS Adventure,942
Honda X-ADV,2027
Honda,525
BMW R 100 RS,136
KTM 1290 Super Duke R,1502
Yamaha Niken,2051
Ducati Multistrada 1200,1777
Indian FTR 1200,1478
BMW F 700 GS,515
Piaggio MP3 300,1785
Zero,2051
Suzuki SV 650,1105
Piaggio,829
Ducati Monster 1100,669
Suzuki V-Strom 650,1089
Yamaha XTZ 1200,2015
Kymco AK 550,533
Honda VTX 1800,204
Harley-Davidson Softail,1749
Kreidler,168
Yamaha MT-07,669
Ducati Scrambler,1749
BMW R 1200,173
Suzuki GSX-S 1000,674
BMW K 1300,1505
Harley-Davidson Softail,731
Suzuki GSX-S 1000,174
BMW K 1600 B,2015
Harley-Davidson Sportster 1200,582
Piaggio MP3 500,209
Honda CBR 500 R,136
BMW K 1600 GT,710
Yamaha MT-07,2051
GG Quad,211
BMW R 1200 GS,209
BMW C Evolution,209
Honda CB 1000,1856
Yamaha YZF-R1,942
BMW R 1200 GS LC,527
BMW R 1200 GS,781
BMW R 1200 GS,510
Triumph Speed Triple 1050,136
KTM 1290 Super Duke R,1973
Ducati Multistrada 950,534
Honda NC 750,2041
Ducati Hypermotard 939,209
BMW C 650,256
Victory Vegas 8-Ball,136
Ducati Streetfighter,2051
Yamaha TMAX 530,2041
BMW R 1200 GS,662
BMW R18,302
BMW,723
Yamaha Tracer 700,726
Yamaha TMAX 530,670
Harley-Davidson Night Train,1728
Benelli Tornado 1130,1251
Honda CBF 1000,1859
Honda CBF 600,2051
Harley-Davidson Softail Slim,2051
Suzuki Burgman 400,1761
MV Agusta F4 750,893
Triumph Speed Twin,2002
Yamaha XJR 1300,2051
Yamaha Tracer 700,716
Suzuki Katana 1000,460
Indian Chieftain,1060
Yamaha FZ 8,1505
Honda CRF 1000,2051
Yamaha YZF-R1,1314
Honda CB 500,221
Derbi GPR,689
Kawasaki Z 900,627
Piaggio MP3 500,1294
Yamaha YZF-R1,790
Moto Guzzi,768
BMW R 1250 RS,798
Harley-Davidson V-Rod,1882
Harley-Davidson CVO Breakout,209
Mash Seventyfive 125,2051
Honda PCX 125,942
Honda GL 1500,174
Honda SH 125,1596
Triumph Tiger 1200,209
BMW R 1200 GS,831
Yamaha YFM 700,136
KTM 1290 Super Duke R,136
BMW K 1600 GT,763
Rieju Marathon,521
BMW R 1200 GS,1890
Honda Vision 110,136
BMW F 700 GS,209
BMW F 800 GS,669
Honda Forza 250,512
Ducati Monster 821,907
Triumph Trident 900,771
Aprilia RX 50,459
BMW R 1200 GS,1998
Harley-Davidson Softail,470
Ducati Hyperstrada,410
Jinling,790
Honda Gold Wing,1040
Derbi GP 1,941
Yamaha FJR 1300,638
Ducati,655
Can Am,1883
Honda PCX 125,934
Kawasaki VN 1700,639
KTM 1290 Super Duke GT,1783
Harley-Davidson Dyna Street Bob,716
Harley-Davidson Iron 1200,681
Triumph Tiger 800,136
KTM 125 Duke,1227
Harley-Davidson Dyna Super Glide,574
Suzuki V-Strom 1000,255
Honda CB 500,2051
Harley-Davidson Street Glide,2051
Aprilia RSV4,141
MV Agusta,136
Fantic Caballero 500,669
BMW R nineT,413
Yamaha XVZ 1300,1855
Yamaha XSR 900,215
BMW F 900 R,1507
Aprilia Dorsoduro,209
Harley-Davidson Softail,510
Can Am Maverick,1434
Triumph Scrambler,933
BMW R 1200 RT,222
Piaggio MP3 YOURBAN,419
BMW R 1200 GS,470
Ducati Hypermotard 939,1719
Pegasus Corona 50,769
KTM 1190 RC8,136
BMW R 1250 RT,669
Can Am Spyder RS,781
Ducati,647
Suzuki Address,656
Honda GL 1800,1106
Aprilia RS 660,1061
Harley-Davidson Softail,171
Honda NC 750,219
Harley-Davidson FXDR 114,1718
Harley-Davidson Iron 883,140
Kymco Agility 125,1059
Kawasaki Z H2,710
BMW K 1300 S,533
BMW R 1250 GS Adventure,209
Suzuki,536
BMW F 850 GS,1593
Kawasaki Z 800,1303
Honda CB 1000,1033
Ducati Scrambler,1478
BMW R 1200 GS,705
Ducati XDiavel,136
Rieju MRT 50,2015
Mondial,2017
Kawasaki Ninja ZX-10R,2051
Piaggio,1416
Honda,1230
Arctic Cat 700,529
Yamaha MT-07,1508
Yamaha MT-10,710
Yamaha YZF-R1,1165
Others,764
MV Agusta 350 S,1126
Ducati Panigale V4,669
Piaggio Medley 125,214
Honda CB 1000,535
Kymco Super Dink 125,1060
Honda Forza 300,493
Kymco K-Pipe 125,1052
Harley-Davidson Softail,1842
BMW R 1200 RS,1088
Ducati SuperSport,414
Kawasaki Z 900,385
Ducati 848,641
Kawasaki Z 1000,929
Triumph Bonneville T100,206
Keeway Superlight,897
Can Am Outlander,209
CF Moto CForce 450,136
Harley-Davidson Dyna Wide Glide,250
KTM,210
BMW R 1200 C Independent,2026
Indian Scout,710
BMW R 1200 GS,2051
Aprilia Shiver 900,417
BMW R 850 R,1885
BMW R 1200 GS Adventure,669
Yamaha NMAX,506
Honda CB 1000,2026
Yamaha Tracer 900,733
Can Am Ryker,739
Triumph Tiger 900,1986
Harley-Davidson Softail,666
Ducati Diavel,2051
Yamaha NMAX,488
Honda CBR 650,215
Honda CMX 500,638
Yamaha,1031
Harley-Davidson Road King,386
Yamaha XVS 650,1044
Ducati 749,232
BMW R 1200 RT,973
Harley-Davidson Dyna Street Bob,255
Kawasaki Ninja 650,1838
CF Moto CForce 520,711
Kawasaki Versys 1000,2051
BMW R 60,136
KTM 790 Duke,136
BMW R nineT,260
Triumph Bonneville Bobber,643
Honda CB 1100,451
Yamaha XSR 900,243
BMW F 800 GS Adventure,209
BMW C 400 X,705
BMW S 1000 XR,769
Harley-Davidson Electra Glide,623
Daelim VT 125,1548
BMW R 80,220
BMW R 1200 GS,136
Honda,171
Honda GL 1800,209
Harley-Davidson,643
Polaris Sportsman 850,496
BMW R 1250 R,1714
Aprilia Tuono,669
BMW K 1300 S,2051
BMW R 1200 GS,1198
Harley-Davidson Electra Glide,496
Ducati 899 Panigale,1879
Super Soco CUX,533
Harley-Davidson Softail,210
Yamaha YZF-R1,1110
Laverda 750,525
Ducati 899 Panigale,1729
Triumph Thunderbird Sport,1270
Ducati Scrambler,1748
BMW R 1200 GS Adventure,672
Kymco Agility 50,1002
Ducati Multistrada 1200,1314
Suzuki Burgman 650,259
Malaguti Ciak 50,136
Suzuki GSX-R 750,669
Harley-Davidson Sportster,733
Kawasaki ER - 6 N,510
Moto Guzzi,507
BMW S 1000 RR,211
BMW,1998
Harley-Davidson Softail,895
Honda CBR 650,608
Ducati Hypermotard 939,525
Ducati Hypermotard 1100,521
BMW R 1200 GS LC,186
Yamaha FJR 1300,1925
Indian FTR 1200,989
Gilera Runner 50,1718
Ducati Multistrada 1200,672
Ducati Monster 821,666
BMW R 100 RS,2051
Vespa GTS 300,623
Kawasaki,1105
Suzuki,1856
Harley-Davidson Sportster,744
Harley-Davidson Road King,365
Yamaha XSR 900,141
Harley-Davidson,666
Kymco AK 550,322
Triumph Speed Triple 1050,136
Honda CRF 1100,1469
Buell 1125 CR,781
Yamaha MT-09,2051
BMW F 900 R,1045
Harley-Davidson Road King,1883
Beta RR 50,616
BMW F 700 GS,209
Peugeot Tweet,1503
Honda NC 750,638
Yamaha XJR 1300,215
Kawasaki Versys 650,526
Triumph Tiger 800,1057
Govecs,929
BMW R 1200 GS,220
Piaggio MP3 350,1364
Harley-Davidson Dyna Street Bob,624
BMW R 1200 RT,533
Ducati Multistrada 1260,1998
Kawasaki Z 650,771
KTM,200
BMW R 1250 R,669
Moto Guzzi V 85,272
Harley-Davidson 1200 Custom,136
Ducati Scrambler,389
Yamaha FJR 1300,932
Honda Gold Wing,1627
BMW R 1150 R,260
Harley-Davidson Softail,689
Beeline Memory,493
BMW F 650 GS,470
CF Moto CForce 800,209
KTM 1190 Adventure,222
SYM Allo,743
BMW S 1000 XR,727
Harley-Davidson V-Rod,942
Ducati 848,2051
Ducati,1266
BMW R 1200 GS,510
BMW R 1250 RT,976
Honda CRF 1000,1478
Honda CBR 1000,218
KTM 1290 Super Duke R,623
Yamaha XTZ 1200,1110
Malaguti Blog 125,1416
Ducati Hypermotard 939,1843
KTM 890 Adventure,525
Piaggio,1049
BMW R 1250 GS,209
Harley-Davidson,209
Kymco Agility 50,136
Others,1059
Triumph Bonneville T120,2015
Ducati Multistrada 1200,220
Kawasaki Vulcan S,210
BMW R 1200 GS,525
BMW R 1200 GS,896
BMW C 650,665
Kawasaki Z 800,1033
Yamaha MT-07,478
BMW R 1250 R,2051
BMW R 1200 GS Adventure,526
Ducati Multistrada 1200,259
Indian Roadmaster,1784
Harley-Davidson Road Glide,136
Kawasaki Ninja ZX-10R,653
Ducati 1299 Panigale,1150
Yamaha Tracer 900,2015
Ducati Multistrada 1260,1858
BMW S 1000 RR,210
Suzuki V-Strom 1050,1239
BMW F 750 GS,1366
Harley-Davidson Heritage Softail,206
Kymco People 125,2051
Yamaha MT-07,466
Triumph Speed Triple S,1044
BMW R 1200 GS Adventure,137
MV Agusta Brutale 800,470
Moto Guzzi V 9,1060
BMW R 1200 C Independent,1648
Yamaha XV 1900,215
Derbi X-Treme,1174
Kawasaki Versys 1000,1060
BMW F 800 GT,942
Ducati,2051
Kawasaki Z 900,2041
SYM Joymax 300,385
BMW R 1200 RT,769
Kymco Xciting 300i,1719
Kawasaki Z 900,1843
KTM 1290 Super Duke R,258
Yamaha X-Max 400,212
Yamaha TMAX 530,1748
CF Moto CForce 450,669
Honda GL 1800,649
Suzuki Address,1439
Triumph Bonneville T120,1059
BMW S 1000 R,1520
BMW R 1200 R,504
Harley-Davidson Softail,1970
Suzuki GSX-R 750,799
Harley-Davidson Softail,170
Harley-Davidson Fat Boy,1484
Peugeot Belville,2051
Kawasaki Z 800,2017
Piaggio Typhoon,681
Ducati 999,942
BMW F 900 R,1886
Victory Kingpin 8-Ball,794
Honda SH 150,1156
BMW K 1300 R,623
Piaggio Beverly 300,255
Yamaha XJR 1300,1485
Yamaha MT-10,2051
Harley-Davidson Street Glide,1747
KTM 1290 Super Duke R,209
Triumph Tiger Explorer,1748
Honda Pan European,2051
Kymco People S 125,934
Harley-Davidson,209
BMW R nineT,1510
Piaggio Beverly 350,929
Yamaha YFM 700,210
Suzuki GSX-R 600,631
BMW R 1200 GS,212
Suzuki GSX-R 750,136
Yamaha Tracer 900,2051
KTM 125 Duke,2051
BMW R 1200 GS,669
Piaggio NRG 50,533
KTM,897
BMW R 1200 GS Adventure,1932
Harley-Davidson Custom Bike,824
BMW R 1200 R,835
BMW C 650 GT,931
Yamaha X-City 250,1528
Yamaha YZF-R1,140
Harley-Davidson Softail,1718
Ducati Scrambler,623
Indian Scout,1074
Vespa LX 150,2013
Honda VT 1300,1714
Honda X-ADV,499
KTM 1090 Adventure,525
Piaggio Zip 25,729
BMW F 850 GS,525
Suzuki,1110
Harley-Davidson,1550
Kawasaki Zephyr 1100,1239
Yamaha MT-01,2051
Super Soco CUX,1466
Ducati 900 SS,973
Yamaha MT-07,510
Ducati Multistrada 1200,260
Honda CBR 125,1157
Ducati Multistrada 1200,394
Kymco Agility 50,1246
Polini XP 4T,724
MV Agusta Brutale 800,638
Yamaha X-Max 400,2051
Peugeot Speedfight,744
KTM 790 Duke,142
Ducati Hypermotard 939,1822
BMW S 1000 XR,259
Kymco People S 200i,308
CF Moto Terralander,1744
MV Agusta F3,1062
Honda CBF 125,186
Harley-Davidson Dyna Street Bob,1502
Yamaha XSR 700,2051
Honda CRF 1100,940
BMW F 900 XR,502
Tauris Fiera 50 Xtreme,2051
BMW S 1000 RR,967
Beta Alp 200,1829
Suzuki GSX-R 1000,1944
Kawasaki Z1000 SX,1869
BMW R 100 RS,405
Piaggio MP3 300,256
Yamaha Vmax,897
KTM 1290 Super Adventure,623
Ducati 996,2051
Yamaha X-Max 400,1529
KTM 690 Duke,628
Trike BOOM TRIKE,470
Vespa Primavera 50,235
Triumph Street Twin,255
Cagiva Elefant 900,1123
BMW R18,556
Indian Scout,666
Harley-Davidson,2016
Yamaha YFM 660,1508
Piaggio Zip 50,2041
Harley-Davidson CVO Limited,515
Ducati,2051
BMW R 67,174
BMW R nineT,1097
Kymco Grand Dink 125,525
Erider,259
Harley-Davidson Road King,653
Yamaha MT-09,743
Piaggio Medley 125,790
Yamaha TMAX 530,533
Ducati Monster 1100,771
Yamaha YZF-R6,218
BMW K 1600 GT,142
Kreidler Supermoto 125,1110
Ducati Multistrada 1200,175
BMW S 1000 RR,2026
Harley-Davidson Heritage Softail,941
Harley-Davidson Sportster 1200,771
Honda CRF 1000,141
Honda PCX 125,710
Ducati Scrambler,136
Honda Gold Wing,2016
BMW R 1250 GS,1785
BMW F 900 XR,649
Kymco Agility 50,1060
BMW K 1600 GTL,2051
Yamaha NMAX,1075
KTM 1290 Super Duke GT,675
Honda Gold Wing,2027
BMW F 900 R,2044
Honda CB 1000,989
BMW,475
Yamaha MT-09,185
Suzuki V-Strom 650,1739
Harley-Davidson Fat Boy,2051
Kawasaki Z 900,1362
Yamaha XVS 1300,1466
Keeway,136
Harley-Davidson Sportster 883,787
Yamaha Niken,744
Yamaha TMAX SX,209
Kawasaki,210
Ducati 1198,782
BMW R 100 R,212
Suzuki GSX 1300,2051
Yamaha Tracer 900,956
Moto Guzzi V 7,1060
Peugeot Speedfight,666
Aprilia RSV4,973
Honda NSC 50 R,1478
Honda CRF 1100,525
BMW R 1200 GS,495
BMW R 1200 GS Adventure,209
Honda NM4 Vultus,1034
BMW R 1200 R,1270
Yamaha YZF-R1,2015
KTM 390 Duke,509
Kawasaki Z 900,209
Harley-Davidson Road King,743
KTM 790 Duke,818
Piaggio,413
Ducati Multistrada 1200,771
Ducati 888,665
BMW R 1200 GS,519
Kawasaki Ninja ZX-10RR,521
Ducati Monster 821,136
Malaguti Ciak 50,255
Yamaha MT-07,649
Ducati Hypermotard 821,781
BMW R 1200 GS,526
Honda CRF 1000,1489
Honda VFR 1200,2051
Can Am Maverick,1045
Honda Gold Wing,851
Harley-Davidson Road Glide,1060
Ducati Monster 797,649
Ducati Monster 821,1362
BMW C 400 GT,1416
BMW R nineT,623
Harley-Davidson Fat Boy,1629
Honda NC 750,712
Ducati Multistrada 1260,211
Piaggio Carnaby 300,140
Yamaha XT 1200,608
Kawasaki Versys 650,1745
Husqvarna,140
Kawasaki Z 900,1357
Harley-Davidson Fat Boy,2051
Moto Guzzi V 7,853
Others,1396
Harley-Davidson,769
SYM Citycom 125,710
Honda CB 125,255
BMW R 1200 GS LC,681
BMW F 850 GS,533
BMW R 1200 R,1794
Gilera Runner 50,136
Suzuki GSX-R 1100,390
BMW F 850 GS,660
Moto Guzzi V 1000,136
Yamaha XVS 950,705
Husqvarna 701 Supermoto,851
Niu,475
Ducati Monster 1100,2016
Honda GL 1800,526
Honda CB 1000,219
BMW R nineT,1469
Harley-Davidson Street Glide,666
Ducati Scrambler,666
TGB,1245
BMW F 750 GS,2015
CF Moto CForce 820,2051
Harley-Davidson Low Rider,204
BMW F 650 GS,1600
Honda,1060
Husqvarna,260
Ducati 1198,967
Yamaha MT-09,982
Ducati Multistrada 1260,727
BMW R 1250 GS Adventure,215
Peugeot Tweet,1986
Harley-Davidson Road King,136
Harley-Davidson Road King,136
MV Agusta Dragster,1239
Yamaha MT-07,136
Zero,1779
BMW R 1200,324
Rieju Tango 250,2017
Kawasaki Z 900,705
BMW S 1000 XR,139
Ducati Scrambler,444
KTM 690 Duke,623
KTM 990 Super Duke,1556
Honda CBR 1000,2027
BMW R 1200 RT,1860
Yamaha,255
BMW F 700 GS,2024
BMW F 800 GS,470
MV Agusta Brutale 800,1478
Askoll eS3,1478
Suzuki Sixteen 150,525
Beta RR Motard,463
Yamaha MT-10,956
Honda,940
BMW F 800 ST,780
Daelim S1 125,470
Triumph Tiger 1050,648
Harley-Davidson,2051
Qooder,140
Yamaha Niken,727
Triumph Speedmaster,2041
BMW R nineT,222
Yamaha NEOs 50,799
Ducati,1033
Piaggio,142
Piaggio,1512
Ducati Multistrada 1200,658
Derbi Senda,799
KTM 390 Duke,527
KTM 1290 Super Adventure,214
Honda NC 700,193
Ducati,708
Harley-Davidson Fat Bob,215
Yamaha X-Max 250,473
BMW F 850 GS,1416
Honda CBR 1000,1653
Yamaha TMAX 530,1757
BMW R 1250 RT,136
Honda SH 150,536
Kawasaki Ninja ZX-10R,1992
BMW F 900 XR,1886
Piaggio NRG Power,136
Harley-Davidson Late Shovel,215
Honda SH 150,255
Ducati Multistrada 950,1456
BMW R 1200 RS,931
Honda CRF 1100,936
BMW R 1100 RS,525
Honda Aeon Cobra,470
BMW R 1200 RT,1497
Ducati 1000 Sport,260
Others,2051
SYM Maxsym TL,705
Suzuki Hayabusa,832
Aprilia RS 660,940
Ducati XDiavel,942
Yamaha D'elight,1655
Triumph Tiger Explorer,654
Aprilia Tuono,174
Triumph Street Twin,1416
BMW R 1200 RT,1478
BMW R nineT,818
Peugeot Ludix,981
KTM 1090 Adventure,136
KTM 125 Enduro,534
Ducati Multistrada 1200,769
Ducati,669
Piaggio Liberty 125,1565
BMW S 1000 XR,255
Yamaha XV 1600,1060
Honda,142
Honda Vision 50,942
KTM 1290 Super Adventure,2014
KTM 1290 Super Duke R,1281
SYM Orbit II,934
Harley-Davidson Heritage Springer,1785
BMW K 1600 GT,510
Others,2051
Piaggio,743
Honda VFR 1200,1777
KTM 990 Adventure,209
BMW R 1200 GS,1761
BMW C 650 GT,259
BMW R 1200 RS,295
Ducati Streetfighter,2051
Honda GL 1800,1626
Harley-Davidson Softail,1533
Triumph Bonneville T120,666
Quadro,1736
BMW R nineT,478
Kawasaki Z 900,1785
BMW F 900 XR,1362
KTM 1290 Super Duke R,1133
Yamaha MT-03,418
Malaguti XSM,656
KTM 125 Duke,1366
Suzuki V-Strom 650,952
Ducati Hypermotard 939,214
Yamaha YZF-R6,942
Honda CRF 1000,1248
Suzuki SV 650,1484
BMW R 1200 GS,2051
Suzuki Katana 1000,1504
BMW S 1000 RR,624
Benelli TNT 1130,1998
Yamaha XSR 900,1986
SYM,818
Polaris,561
Harley-Davidson Road King,669
Suzuki GSR 750,2016
Ducati 1299 Panigale,507
Suzuki V-Strom 650,1777
Moto Guzzi V 7,1747
Kymco Like 50,140
Can Am Spyder F3-S,1529
Harley-Davidson Iron 883,743
Moto Guzzi V 9,1345
KTM 300 XC,1852
BMW R 1200 RS,222
KTM 1290 Super Duke R,1494
MV Agusta F4 1000,674
Piaggio Beverly 300,835
Yamaha Tracer 900,683
Piaggio MP3 400,255
Harley-Davidson 1200 Custom,204
Yamaha FJR 1300,175
Yamaha,778
Honda VFR 1200,1060
Explorer Kallio 50,2051
Harley-Davidson Softail,141
Yamaha MT-09,2016
Ducati Hypermotard 1100,255
Suzuki SV 650,989
Suzuki GSX-R 600,195
BMW F 850 GS,940
Piaggio Zip 50,2051
Honda CRF 1000,705
Moto Guzzi Le Mans,442
Triumph Rocket III Touring,1842
BMW R 1250 RT,1008
Piaggio Fly 50,214
Harley-Davidson Sportster 1200,970
Honda X-ADV,1833
Harley-Davidson Super Glide,719
BMW R nineT,1938
BMW R 1200,209
BMW K 1600 GTL,209
Honda MSX 125,710
Kymco AK 550,1539
Kawasaki Z 900,2042
Zero,209
BMW F 900 R,2031
Yamaha MT-09,2051
BMW R nineT,171
Kawasaki,212
BMW R 1100 S,775
KTM 1290 Super Adventure,140
Yamaha Tracer 900,2051
Honda,2051
Daelim Otello F.I.,781
Triumph Bonneville T100,1860
Kawasaki GTR 1400,1236
BMW R 1200 RS,153
KTM 690 SMC,972
Triumph,675
Honda CB 650,212
Vespa PK 50,174
BMW R 1200 GS,989
BMW R 1200 GS,853
Honda CB 1000,1045
Polaris RZR 900,689
Yamaha TMAX 560,215
BMW R 1200 GS,1655
Yamaha SCR 950,209
Yamaha X-City 250,1563
BMW K 1300 S,220
BMW R 1200 R,2027
Honda Integra,744
BMW F 850 GS,623
Yamaha XSR 700,2051
Yamaha YFM 700,2051
Honda NC 750,1121
Triumph Speedmaster,2051
MV Agusta Brutale 1090,705
BMW HP4,743
KTM 790 Adventure,214
Harley-Davidson Sportster 883,653
BMW R 1200 R,1730
BMW K 1600 GT,705
Kawasaki,695
Husqvarna 701 Supermoto,675
Kawasaki Versys 650,1784
Harley-Davidson V-Rod,1437
BMW R 1200 RT,674
SYM Orbit II,710
BMW R 1200 GS,2051
Quadix Buggy 800,623
BMW R 1250 R,769
Yamaha Niken,525
Honda CRF 1100,675
Harley-Davidson,666
Yamaha XSR 700,675
Yamaha YZ 450,307
Kymco Downtown 300i,662
Yamaha XJR 1300,1499
Honda,2051
Honda CRF 1000,641
BMW R 1200 RS,413
Harley-Davidson Heritage Softail,1110
Suzuki DR 125,653
Honda,727
Harley-Davidson XL 1200,210
Harley-Davidson Sportster 883,705
Suzuki V-Strom 1050,798
Peugeot,2051
Harley-Davidson Sportster 1200,469
Honda CB 1000,1785
Yamaha X-Max 400,220
Harley-Davidson,140
Honda GL 1800,1416
Ducati Multistrada 1200,929
Harley-Davidson Sportster 883,136
Harley-Davidson Road King,1031
Harley-Davidson Sportster 883,1749
Beta,210
Harley-Davidson Night Train,666
Piaggio Liberty 50,775
Yamaha YZF-R125,1050
Harley-Davidson Dyna Wide Glide,2051
Can Am Maverick,1999
Kymco Agility 50,653
Harley-Davidson Heritage Softail,171
Honda CBR 1000,510
BMW R 1200 GS Adventure,940
Honda,681
Honda SH 125,1094
Yamaha Tracer 700,255
Doohan iTank,536
Suzuki V-Strom 650,1031
BMW R 1250 R,1874
BMW F 850 GS,1783
Others,475
Suzuki Katana 1000,136
KTM,209
Aprilia SX 50,259
Kawasaki Ninja 650,136
Suzuki GSX-S 1000,1627
BMW R 1200 GS Adventure,710
Harley-Davidson Road King,212
Honda Integra,142
Kawasaki W 800,660
Yamaha Tracer 700,527
Yamaha FZ 1,710
Harley-Davidson Heritage Softail,733
BMW K 1300 S,643
Ducati Hypermotard 939,209
KTM 1290 Super Adventure,929
Harley-Davidson Street Glide,2051
Kreidler Insignio 250,305
BMW R nineT,1749
Ducati XDiavel,676
Kawasaki Ninja 650,681
Triumph Thruxton,2015
Suzuki V-Strom 1000,474
Ducati 1198,669
Aermacchi 350 Sprint,623
BMW R 1200 GS,1044
BMW S 1000 RR,649
BMW C Evolution,136
SYM Allo,255
Honda CB 1000,1744
BMW R 1200 R,1785
BMW F 900 XR,710
Harley-Davidson Low Rider,643
Ducati Multistrada 950,940
Honda CB 1000,470
Honda CBR 650,136
Harley-Davidson Electra Glide,572
BMW R 1200 GS,1726
KTM,1998
Yamaha Xenter 125,1480
Benelli Trek 1130,666
Suzuki GSX-S 1000,1478
Harley-Davidson Sportster Forty Eight,680
Harley-Davidson Street Glide,2041
Yamaha MT-07,656
Ducati 1098,259
Harley-Davidson Softail,258
Harley-Davidson,136
Kawasaki Versys 1000,1946
Harley-Davidson Fat Boy,136
BMW F 700 GS,705
BMW R nineT,1060
Suzuki GSX-R 1000,998
Harley-Davidson,414
Harley-Davidson Street Glide,2051
